Byte pair, Frequency
(45, 111), -> [7]
(91, 116), -> [1]
(316, 116), -> [15]
(337, 101), -> [23]
(117, 102), -> [10]
(349, 266), -> [7]
(310, 269), -> [1]
(103, 290), -> [34]
(117, 259), -> [13]
(110, 110), -> [32]
(268, 115), -> [3]
(268, 121), -> [6]
(272, 342), -> [3]
(103, 111), -> [19]
(111, 295), -> [4]
(52, 51), -> [19]
(295, 295), -> [8]
(344, 307), -> [5]
(307, 114), -> [2]
(280, 295), -> [6]
(290, 295), -> [9]
(337, 313), -> [11]
(313, 111), -> [10]
(52, 52), -> [24]
(114, 100), -> [12]
(320, 97), -> [31]
(97, 102), -> [11]
(314, 258), -> [4]
(258, 99), -> [4]
(99, 263), -> [15]
(263, 116), -> [8]
(339, 333), -> [6]
(109, 87), -> [1]
(337, 333), -> [6]
(265, 295), -> [3]
(100, 290), -> [43]
(52, 53), -> [24]
(256, 99), -> [7]
(272, 97), -> [22]
(109, 287), -> [16]
(32, 36), -> [52]
(49, 257), -> [3]
(52, 54), -> [18]
(52, 55), -> [18]
(112, 262), -> [7]
(109, 309), -> [8]
(321, 287), -> [15]
(340, 114), -> [8]
(45, 119), -> [12]
(119, 114), -> [6]
(111, 286), -> [202]
(286, 116), -> [6]
(69, 301), -> [7]
(301, 105), -> [13]
(79, 114), -> [6]
(114, 114), -> [5]
(314, 270), -> [27]
(270, 266), -> [14]
(97, 104), -> [31]
(80, 283), -> [8]
(283, 114), -> [7]
(52, 56), -> [19]
(52, 57), -> [18]
(320, 309), -> [64]
(107, 352), -> [14]
(349, 270), -> [27]
(270, 115), -> [47]
(101, 291), -> [4]
(291, 260), -> [2]
(333, 118), -> [25]
(105, 309), -> [15]
(261, 101), -> [22]
(290, 97), -> [11]
(301, 298), -> [1]
(298, 290), -> [1]
(115, 109), -> [19]
(53, 48), -> [41]
(53, 55), -> [22]
(128, 148), -> [23]
(148, 116), -> [6]
(116, 263), -> [17]
(272, 280), -> [2]
(100, 310), -> [4]
(53, 49), -> [20]
(287, 259), -> [2]
(259, 117), -> [5]
(45, 99), -> [12]
(102, 105), -> [44]
(105, 260), -> [14]
(53, 50), -> [20]
(66, 298), -> [4]
(102, 266), -> [1]
(84, 105), -> [9]
(99, 71), -> [10]
(103, 295), -> [7]
(306, 290), -> [8]
(105, 289), -> [47]
(267, 115), -> [44]
(290, 309), -> [2]
(114, 110), -> [36]
(335, 117), -> [5]
(121, 283), -> [4]
(340, 309), -> [7]
(309, 108), -> [12]
(306, 335), -> [3]
(276, 108), -> [9]
(111, 258), -> [3]
(53, 51), -> [19]
(265, 266), -> [3]
(274, 336), -> [5]
(336, 99), -> [8]
(345, 108), -> [9]
(287, 289), -> [20]
(53, 52), -> [17]
(112, 108), -> [38]
(99, 291), -> [2]
(69, 270), -> [5]
(270, 99), -> [29]
(104, 117), -> [14]
(53, 53), -> [18]
(306, 97), -> [18]
(332, 335), -> [2]
(335, 105), -> [18]
(105, 269), -> [40]
(115, 97), -> [31]
(45, 121), -> [11]
(115, 352), -> [7]
(110, 107), -> [3]
(107, 110), -> [12]
(114, 108), -> [6]
(272, 290), -> [5]
(301, 111), -> [16]
(119, 295), -> [10]
(344, 258), -> [20]
(340, 256), -> [18]
(84, 101), -> [3]
(101, 341), -> [3]
(341, 114), -> [3]
(297, 121), -> [11]
(71, 117), -> [38]
(79, 117), -> [19]
(80, 307), -> [8]
(307, 116), -> [14]
(314, 117), -> [11]
(264, 97), -> [17]
(104, 308), -> [2]
(308, 260), -> [1]
(260, 352), -> [1]
(53, 54), -> [19]
(69, 80), -> [2]
(80, 115), -> [1]
(320, 111), -> [33]
(301, 310), -> [4]
(69, 121), -> [5]
(121, 289), -> [4]
(117, 352), -> [170]
(53, 56), -> [19]
(53, 57), -> [20]
(290, 115), -> [27]
(115, 105), -> [31]
(71, 101), -> [9]
(101, 258), -> [9]
(258, 103), -> [15]
(54, 48), -> [18]
(54, 49), -> [19]
(54, 50), -> [18]
(340, 262), -> [29]
(310, 105), -> [13]
(105, 287), -> [35]
(288, 295), -> [8]
(261, 335), -> [4]
(335, 347), -> [3]
(54, 51), -> [12]
(354, 258), -> [8]
(122, 262), -> [7]
(54, 52), -> [10]
(345, 291), -> [11]
(54, 53), -> [8]
(118, 258), -> [11]
(258, 335), -> [8]
(331, 262), -> [11]
(262, 258), -> [19]
(54, 54), -> [10]
(110, 288), -> [16]
(288, 259), -> [29]
(259, 287), -> [29]
(54, 55), -> [10]
(103, 97), -> [26]
(54, 56), -> [8]
(98, 302), -> [5]
(302, 102), -> [3]
(102, 352), -> [3]
(324, 111), -> [59]
(324, 262), -> [19]
(262, 336), -> [3]
(54, 57), -> [8]
(55, 48), -> [11]
(105, 256), -> [11]
(354, 266), -> [8]
(266, 110), -> [33]
(116, 266), -> [23]
(297, 351), -> [14]
(351, 105), -> [15]
(100, 116), -> [10]
(55, 49), -> [8]
(55, 50), -> [8]
(306, 310), -> [12]
(310, 262), -> [15]
(321, 351), -> [139]
(351, 315), -> [221]
(321, 258), -> [5]
(307, 97), -> [20]
(55, 51), -> [11]
(283, 115), -> [19]
(55, 52), -> [11]
(320, 270), -> [16]
(118, 117), -> [3]
(108, 110), -> [3]
(55, 53), -> [9]
(87, 104), -> [20]
(104, 335), -> [12]
(258, 115), -> [23]
(279, 101), -> [1]
(70, 101), -> [35]
(55, 54), -> [7]
(348, 112), -> [32]
(55, 55), -> [10]
(45, 285), -> [3]
(55, 56), -> [16]
(290, 333), -> [6]
(274, 97), -> [15]
(55, 57), -> [13]
(116, 270), -> [15]
(270, 289), -> [5]
(56, 49), -> [7]
(263, 97), -> [8]
(100, 108), -> [6]
(259, 295), -> [6]
(115, 260), -> [26]
(56, 50), -> [9]
(324, 309), -> [9]
(344, 259), -> [1]
(259, 105), -> [8]
(115, 256), -> [6]
(311, 105), -> [3]
(339, 86), -> [2]
(86, 68), -> [2]
(114, 280), -> [4]
(56, 51), -> [6]
(75, 101), -> [33]
(101, 335), -> [24]
(85, 114), -> [9]
(114, 98), -> [7]
(69, 115), -> [3]
(56, 52), -> [8]
(56, 53), -> [8]
(101, 285), -> [8]
(75, 266), -> [12]
(56, 54), -> [7]
(114, 351), -> [14]
(110, 283), -> [8]
(344, 291), -> [3]
(291, 289), -> [1]
(56, 55), -> [9]
(278, 104), -> [37]
(56, 56), -> [6]
(56, 57), -> [6]
(320, 77), -> [27]
(77, 84), -> [25]
(265, 111), -> [7]
(100, 121), -> [35]
(45, 80), -> [10]
(84, 104), -> [9]
(57, 48), -> [8]
(267, 116), -> [20]
(259, 256), -> [12]
(57, 51), -> [9]
(111, 104), -> [13]
(104, 110), -> [16]
(280, 256), -> [4]
(72, 269), -> [3]
(269, 102), -> [3]
(354, 101), -> [20]
(314, 111), -> [20]
(71, 105), -> [14]
(84, 119), -> [4]
(314, 283), -> [5]
(57, 52), -> [9]
(57, 53), -> [9]
(66, 101), -> [10]
(339, 280), -> [11]
(280, 115), -> [25]
(107, 108), -> [8]
(108, 256), -> [9]
(57, 54), -> [7]
(148, 34), -> [2]
(39, 301), -> [3]
(108, 119), -> [6]
(119, 280), -> [8]
(346, 280), -> [3]
(354, 288), -> [6]
(97, 122), -> [20]
(122, 105), -> [6]
(270, 98), -> [25]
(86, 269), -> [4]
(346, 336), -> [8]
(320, 266), -> [11]
(57, 55), -> [20]
(57, 57), -> [12]
(333, 98), -> [2]
(320, 83), -> [1]
(83, 73), -> [3]
(110, 118), -> [5]
(272, 298), -> [1]
(298, 287), -> [2]
(264, 287), -> [1]
(321, 298), -> [3]
(316, 119), -> [10]
(344, 262), -> [9]
(48, 49), -> [7]
(48, 50), -> [8]
(77, 259), -> [4]
(256, 260), -> [17]
(48, 51), -> [7]
(269, 262), -> [3]
(48, 52), -> [8]
(48, 53), -> [5]
(287, 111), -> [9]
(48, 54), -> [5]
(100, 298), -> [11]
(298, 335), -> [12]
(335, 269), -> [19]
(110, 108), -> [3]
(111, 97), -> [10]
(48, 55), -> [10]
(45, 117), -> [1]
(58, 91), -> [1]
(48, 56), -> [10]
(263, 102), -> [6]
(344, 256), -> [1]
(310, 114), -> [3]
(111, 122), -> [1]
(122, 290), -> [2]
(306, 109), -> [1]
(109, 265), -> [10]
(48, 57), -> [7]
(77, 101), -> [9]
(101, 266), -> [12]
(85, 115), -> [7]
(83, 112), -> [14]
(345, 352), -> [2]
(101, 113), -> [8]
(261, 290), -> [2]
(100, 97), -> [22]
(71, 121), -> [2]
(121, 301), -> [3]
(301, 290), -> [8]
(290, 104), -> [2]
(97, 269), -> [2]
(349, 256), -> [4]
(256, 291), -> [2]
(291, 262), -> [2]
(311, 119), -> [14]
(41, 91), -> [1]
(311, 109), -> [10]
(109, 262), -> [26]
(103, 272), -> [2]
(83, 263), -> [6]
(344, 298), -> [2]
(280, 260), -> [6]
(119, 108), -> [1]
(107, 289), -> [20]
(117, 265), -> [230]
(119, 260), -> [7]
(354, 117), -> [14]
(71, 97), -> [13]
(79, 112), -> [10]
(83, 97), -> [4]
(264, 309), -> [12]
(320, 105), -> [3]
(45, 66), -> [2]
(66, 262), -> [1]
(346, 270), -> [4]
(71, 111), -> [21]
(103, 325), -> [7]
(46, 111), -> [2]
(46, 66), -> [2]
(66, 111), -> [4]
(320, 262), -> [35]
(75, 290), -> [8]
(260, 121), -> [5]
(32, 90), -> [20]
(90, 101), -> [6]
(269, 308), -> [4]
(79, 116), -> [4]
(267, 103), -> [7]
(75, 110), -> [10]
(346, 256), -> [8]
(309, 98), -> [6]
(354, 336), -> [14]
(103, 260), -> [17]
(82, 260), -> [10]
(339, 290), -> [4]
(290, 109), -> [1]
(73, 333), -> [3]
(108, 308), -> [22]
(85, 75), -> [6]
(97, 120), -> [8]
(263, 301), -> [9]
(301, 98), -> [2]
(98, 97), -> [17]
(99, 258), -> [16]
(258, 112), -> [5]
(258, 287), -> [15]
(263, 265), -> [7]
(116, 108), -> [20]
(98, 272), -> [1]
(100, 266), -> [6]
(274, 308), -> [6]
(308, 269), -> [3]
(272, 270), -> [3]
(270, 118), -> [12]
(306, 288), -> [9]
(288, 283), -> [5]
(104, 260), -> [7]
(265, 110), -> [22]
(312, 91), -> [8]
(310, 101), -> [27]
(101, 105), -> [39]
(105, 271), -> [15]
(279, 104), -> [11]
(258, 260), -> [5]
(80, 259), -> [5]
(99, 347), -> [8]
(71, 265), -> [17]
(339, 117), -> [9]
(116, 121), -> [27]
(83, 119), -> [1]
(283, 256), -> [5]
(345, 307), -> [1]
(72, 298), -> [3]
(104, 119), -> [1]
(339, 262), -> [12]
(39, 116), -> [17]
(65, 115), -> [12]
(278, 101), -> [20]
(314, 121), -> [5]
(262, 289), -> [6]
(73, 301), -> [1]
(259, 111), -> [7]
(111, 105), -> [18]
(98, 308), -> [6]
(111, 259), -> [13]
(259, 260), -> [15]
(345, 296), -> [2]
(296, 105), -> [2]
(76, 259), -> [6]
(306, 283), -> [5]
(264, 291), -> [1]
(291, 259), -> [7]
(259, 265), -> [1]
(117, 105), -> [14]
(111, 307), -> [16]
(307, 260), -> [2]
(333, 121), -> [2]
(76, 258), -> [5]
(258, 97), -> [4]
(335, 99), -> [5]
(111, 347), -> [12]
(121, 272), -> [2]
(306, 107), -> [4]
(118, 295), -> [15]
(73, 109), -> [6]
(274, 121), -> [5]
(121, 266), -> [7]
(278, 260), -> [1]
(260, 100), -> [4]
(80, 280), -> [6]
(280, 97), -> [1]
(332, 118), -> [4]
(118, 335), -> [8]
(335, 295), -> [3]
(276, 266), -> [12]
(45, 108), -> [2]
(59, 91), -> [14]
(83, 116), -> [14]
(121, 347), -> [15]
(346, 111), -> [2]
(78, 101), -> [14]
(274, 288), -> [4]
(348, 116), -> [3]
(270, 258), -> [2]
(287, 269), -> [8]
(269, 111), -> [7]
(265, 103), -> [5]
(117, 295), -> [1]
(311, 100), -> [14]
(306, 256), -> [7]
(256, 118), -> [23]
(118, 307), -> [11]
(105, 117), -> [20]
(121, 269), -> [3]
(108, 283), -> [11]
(122, 260), -> [13]
(256, 295), -> [5]
(45, 109), -> [3]
(270, 269), -> [3]
(110, 309), -> [9]
(337, 280), -> [2]
(333, 260), -> [3]
(283, 117), -> [3]
(108, 353), -> [4]
(80, 108), -> [6]
(287, 102), -> [3]
(261, 273), -> [5]
(273, 99), -> [4]
(332, 97), -> [1]
(339, 307), -> [2]
(320, 108), -> [16]
(120, 99), -> [7]
(104, 100), -> [2]
(46, 65), -> [2]
(120, 104), -> [1]
(98, 335), -> [4]
(301, 97), -> [14]
(122, 256), -> [1]
(339, 74), -> [1]
(320, 269), -> [11]
(269, 118), -> [4]
(118, 259), -> [9]
(265, 270), -> [8]
(314, 265), -> [8]
(274, 105), -> [9]
(105, 104), -> [6]
(349, 114), -> [8]
(335, 260), -> [14]
(337, 115), -> [2]
(321, 105), -> [3]
(264, 106), -> [1]
(106, 195), -> [1]
(195, 182), -> [1]
(182, 286), -> [1]
(286, 103), -> [9]
(112, 270), -> [122]
(270, 108), -> [115]
(32, 352), -> [11]
(352, 270), -> [11]
(99, 115), -> [12]
(70, 97), -> [4]
(333, 102), -> [11]
(351, 269), -> [4]
(45, 273), -> [1]
(273, 102), -> [1]
(75, 105), -> [7]
(75, 341), -> [2]
(341, 336), -> [2]
(353, 115), -> [6]
(109, 307), -> [5]
(98, 352), -> [1]
(337, 104), -> [6]
(287, 295), -> [7]
(278, 288), -> [9]
(354, 105), -> [32]
(100, 100), -> [17]
(100, 347), -> [3]
(347, 272), -> [2]
(272, 262), -> [9]
(119, 121), -> [8]
(264, 101), -> [111]
(116, 315), -> [112]
(66, 283), -> [2]
(297, 266), -> [13]
(76, 335), -> [3]
(116, 347), -> [5]
(77, 65), -> [20]
(90, 280), -> [1]
(280, 110), -> [4]
(297, 269), -> [3]
(259, 116), -> [14]
(346, 266), -> [8]
(279, 121), -> [1]
(339, 265), -> [3]
(339, 97), -> [32]
(297, 117), -> [12]
(301, 256), -> [4]
(75, 89), -> [1]
(89, 71), -> [1]
(71, 79), -> [1]
(45, 70), -> [5]
(70, 77), -> [1]
(32, 291), -> [18]
(291, 112), -> [12]
(345, 309), -> [9]
(120, 117), -> [10]
(108, 298), -> [14]
(38, 66), -> [2]
(69, 68), -> [3]
(68, 77), -> [2]
(119, 115), -> [59]
(281, 46), -> [1]
(46, 46), -> [6]
(63, 34), -> [2]
(263, 256), -> [5]
(256, 266), -> [6]
(345, 117), -> [11]
(68, 101), -> [4]
(307, 287), -> [14]
(57, 49), -> [7]
(57, 50), -> [10]
(117, 111), -> [3]
(267, 77), -> [7]
(341, 260), -> [1]
(114, 112), -> [18]
(112, 336), -> [8]
(336, 115), -> [26]
(335, 110), -> [2]
(354, 309), -> [6]
(309, 272), -> [9]
(291, 98), -> [5]
(98, 265), -> [4]
(100, 273), -> [8]
(85, 110), -> [29]
(115, 269), -> [9]
(309, 112), -> [9]
(336, 289), -> [4]
(335, 338), -> [14]
(110, 262), -> [3]
(310, 309), -> [1]
(337, 258), -> [6]
(260, 115), -> [3]
(111, 120), -> [16]
(331, 117), -> [2]
(335, 109), -> [1]
(102, 265), -> [1]
(314, 289), -> [2]
(289, 105), -> [6]
(76, 309), -> [5]
(309, 105), -> [4]
(105, 270), -> [1]
(257, 51), -> [1]
(33, 34), -> [4]
(269, 109), -> [4]
(257, 52), -> [1]
(289, 117), -> [3]
(114, 103), -> [17]
(257, 53), -> [2]
(257, 54), -> [3]
(257, 55), -> [1]
(69, 102), -> [1]
(102, 310), -> [5]
(257, 56), -> [1]
(257, 57), -> [2]
(117, 121), -> [2]
(299, 352), -> [6]
(120, 285), -> [1]
(285, 266), -> [8]
(314, 288), -> [1]
(288, 98), -> [6]
(269, 117), -> [2]
(114, 259), -> [9]
(259, 97), -> [16]
(333, 119), -> [7]
(76, 108), -> [2]
(121, 100), -> [7]
(98, 286), -> [2]
(320, 287), -> [7]
(287, 115), -> [9]
(45, 110), -> [1]
(71, 104), -> [2]
(337, 266), -> [1]
(285, 114), -> [1]
(307, 108), -> [3]
(80, 117), -> [14]
(65, 109), -> [37]
(100, 272), -> [1]
(320, 79), -> [3]
(79, 86), -> [3]
(86, 73), -> [3]
(73, 68), -> [5]
(337, 308), -> [2]
(308, 291), -> [3]
(291, 307), -> [5]
(45, 333), -> [2]
(339, 289), -> [8]
(115, 110), -> [8]
(346, 342), -> [25]
(342, 105), -> [6]
(50, 257), -> [1]
(112, 98), -> [3]
(272, 307), -> [13]
(310, 111), -> [5]
(103, 110), -> [5]
(69, 97), -> [9]
(78, 111), -> [4]
(115, 108), -> [7]
(310, 260), -> [2]
(41, 34), -> [2]
(297, 259), -> [3]
(333, 272), -> [5]
(98, 98), -> [9]
(98, 260), -> [13]
(332, 272), -> [7]
(108, 336), -> [7]
(115, 307), -> [3]
(118, 265), -> [5]
(265, 105), -> [53]
(45, 100), -> [6]
(354, 97), -> [19]
(122, 101), -> [10]
(75, 265), -> [2]
(293, 34), -> [2]
(34, 41), -> [2]
(333, 105), -> [2]
(115, 308), -> [3]
(45, 101), -> [4]
(45, 290), -> [1]
(41, 59), -> [5]
(266, 101), -> [7]
(101, 309), -> [3]
(306, 259), -> [6]
(259, 99), -> [13]
(82, 290), -> [2]
(66, 105), -> [1]
(71, 336), -> [2]
(336, 111), -> [2]
(32, 81), -> [9]
(81, 117), -> [12]
(108, 99), -> [9]
(119, 100), -> [2]
(264, 295), -> [21]
(67, 265), -> [13]
(288, 260), -> [3]
(109, 272), -> [2]
(256, 100), -> [3]
(112, 99), -> [1]
(285, 108), -> [3]
(278, 258), -> [5]
(111, 283), -> [5]
(339, 101), -> [44]
(116, 109), -> [9]
(262, 288), -> [7]
(288, 307), -> [4]
(347, 103), -> [14]
(261, 307), -> [5]
(278, 307), -> [4]
(283, 109), -> [2]
(344, 105), -> [3]
(308, 108), -> [1]
(320, 259), -> [2]
(259, 291), -> [2]
(291, 287), -> [1]
(287, 307), -> [1]
(267, 323), -> [2]
(110, 112), -> [2]
(260, 290), -> [1]
(263, 298), -> [1]
(265, 335), -> [10]
(112, 308), -> [2]
(314, 353), -> [11]
(291, 265), -> [7]
(114, 287), -> [23]
(115, 336), -> [1]
(102, 115), -> [4]
(261, 298), -> [1]
(324, 266), -> [79]
(266, 117), -> [107]
(267, 73), -> [3]
(290, 256), -> [19]
(32, 88), -> [5]
(256, 352), -> [1]
(278, 273), -> [4]
(291, 308), -> [1]
(308, 115), -> [6]
(103, 269), -> [3]
(110, 102), -> [4]
(291, 258), -> [2]
(285, 117), -> [3]
(290, 106), -> [2]
(121, 260), -> [4]
(77, 121), -> [3]
(299, 99), -> [2]
(119, 289), -> [2]
(262, 102), -> [7]
(102, 336), -> [1]
(99, 259), -> [1]
(98, 298), -> [7]
(298, 103), -> [19]
(316, 279), -> [5]
(279, 290), -> [6]
(335, 287), -> [1]
(100, 109), -> [5]
(80, 287), -> [7]
(258, 283), -> [1]
(278, 97), -> [21]
(104, 288), -> [4]
(120, 291), -> [1]
(297, 335), -> [4]
(296, 289), -> [1]
(112, 352), -> [2]
(69, 116), -> [1]
(100, 103), -> [8]
(264, 265), -> [8]
(99, 76), -> [1]
(297, 258), -> [18]
(115, 283), -> [6]
(71, 270), -> [2]
(270, 102), -> [2]
(102, 259), -> [3]
(99, 75), -> [4]
(86, 265), -> [25]
(99, 67), -> [12]
(295, 272), -> [5]
(108, 309), -> [3]
(75, 270), -> [2]
(302, 108), -> [2]
(76, 290), -> [1]
(349, 335), -> [3]
(345, 269), -> [3]
(34, 73), -> [1]
(73, 102), -> [3]
(351, 290), -> [5]
(353, 289), -> [4]
(100, 265), -> [6]
(337, 263), -> [2]
(99, 262), -> [12]
(34, 10), -> [4]
(148, 84), -> [1]
(333, 259), -> [5]
(259, 118), -> [4]
(99, 270), -> [16]
(109, 353), -> [1]
(285, 97), -> [11]
(347, 262), -> [1]
(45, 105), -> [1]
(344, 308), -> [1]
(308, 111), -> [1]
(306, 108), -> [2]
(264, 288), -> [4]
(100, 307), -> [7]
(287, 258), -> [9]
(110, 265), -> [4]
(308, 262), -> [3]
(262, 295), -> [1]
(115, 351), -> [2]
(98, 287), -> [3]
(106, 309), -> [4]
(115, 290), -> [10]
(326, 259), -> [2]
(45, 308), -> [1]
(115, 273), -> [1]
(116, 285), -> [2]
(117, 118), -> [1]
(262, 260), -> [2]
(331, 308), -> [1]
(295, 117), -> [1]
(32, 256), -> [7]
(307, 335), -> [2]
(107, 103), -> [1]
(148, 97), -> [2]
(307, 111), -> [5]
(264, 108), -> [9]
(111, 266), -> [4]
(118, 287), -> [7]
(32, 289), -> [3]
(263, 119), -> [3]
(51, 257), -> [2]
(104, 336), -> [2]
(269, 119), -> [2]
(112, 353), -> [1]
(353, 104), -> [1]
(34, 67), -> [1]
(68, 117), -> [3]
(32, 353), -> [11]
(34, 76), -> [2]
(276, 269), -> [2]
(102, 114), -> [2]
(80, 114), -> [37]
(291, 115), -> [4]
(101, 122), -> [5]
(122, 122), -> [11]
(122, 111), -> [5]
(109, 98), -> [10]
(116, 291), -> [7]
(258, 265), -> [7]
(331, 341), -> [2]
(291, 97), -> [9]
(120, 260), -> [1]
(338, 260), -> [1]
(285, 110), -> [6]
(105, 113), -> [8]
(353, 97), -> [1]
(110, 307), -> [3]
(337, 270), -> [6]
(122, 295), -> [4]
(117, 266), -> [3]
(349, 258), -> [3]
(258, 114), -> [4]
(337, 335), -> [1]
(45, 84), -> [8]
(84, 117), -> [6]
(100, 283), -> [5]
(283, 97), -> [6]
(120, 97), -> [2]
(306, 119), -> [3]
(115, 298), -> [1]
(114, 104), -> [1]
(104, 109), -> [3]
(276, 259), -> [2]
(110, 336), -> [1]
(336, 269), -> [1]
(32, 270), -> [10]
(270, 285), -> [2]
(285, 256), -> [3]
(289, 262), -> [3]
(262, 266), -> [5]
(265, 112), -> [2]
(301, 260), -> [2]
(80, 335), -> [8]
(285, 102), -> [8]
(261, 262), -> [3]
(117, 341), -> [20]
(341, 105), -> [22]
(121, 111), -> [2]
(337, 336), -> [2]
(338, 287), -> [1]
(120, 289), -> [1]
(109, 308), -> [4]
(308, 97), -> [3]
(114, 353), -> [4]
(353, 105), -> [7]
(267, 352), -> [4]
(352, 115), -> [4]
(98, 270), -> [13]
(83, 262), -> [9]
(335, 256), -> [7]
(262, 287), -> [37]
(314, 287), -> [2]
(256, 265), -> [5]
(114, 265), -> [6]
(270, 100), -> [12]
(111, 106), -> [8]
(118, 298), -> [1]
(105, 265), -> [2]
(108, 351), -> [5]
(116, 98), -> [1]
(117, 270), -> [6]
(100, 288), -> [9]
(259, 266), -> [1]
(108, 271), -> [3]
(261, 117), -> [5]
(348, 120), -> [1]
(120, 307), -> [1]
(272, 269), -> [4]
(269, 103), -> [2]
(45, 313), -> [1]
(313, 266), -> [5]
(333, 269), -> [6]
(122, 287), -> [5]
(276, 270), -> [2]
(270, 290), -> [4]
(290, 287), -> [3]
(45, 97), -> [2]
(119, 265), -> [4]
(290, 289), -> [6]
(335, 270), -> [1]
(270, 111), -> [1]
(290, 103), -> [4]
(103, 291), -> [6]
(285, 258), -> [1]
(258, 353), -> [1]
(45, 98), -> [3]
(265, 323), -> [2]
(323, 116), -> [1]
(321, 80), -> [10]
(80, 82), -> [10]
(272, 308), -> [4]
(308, 341), -> [5]
(116, 102), -> [2]
(112, 335), -> [6]
(107, 342), -> [2]
(342, 260), -> [3]
(266, 289), -> [4]
(289, 113), -> [1]
(338, 265), -> [3]
(311, 118), -> [3]
(32, 313), -> [4]
(276, 307), -> [1]
(299, 116), -> [1]
(265, 99), -> [5]
(105, 286), -> [4]
(286, 287), -> [3]
(104, 115), -> [7]
(112, 259), -> [9]
(347, 120), -> [9]
(118, 97), -> [16]
(340, 117), -> [1]
(261, 121), -> [1]
(121, 112), -> [5]
(117, 342), -> [2]
(283, 307), -> [1]
(102, 309), -> [4]
(337, 290), -> [3]
(341, 295), -> [1]
(73, 99), -> [9]
(348, 100), -> [3]
(258, 291), -> [1]
(45, 65), -> [6]
(111, 291), -> [2]
(39, 333), -> [5]
(110, 121), -> [5]
(74, 309), -> [2]
(79, 279), -> [1]
(119, 109), -> [3]
(333, 352), -> [1]
(122, 259), -> [3]
(75, 333), -> [6]
(290, 272), -> [3]
(101, 259), -> [11]
(264, 336), -> [3]
(114, 256), -> [7]
(45, 74), -> [2]
(74, 262), -> [3]
(115, 263), -> [2]
(103, 121), -> [4]
(267, 100), -> [7]
(100, 270), -> [6]
(291, 295), -> [1]
(295, 352), -> [1]
(73, 108), -> [2]
(75, 97), -> [14]
(265, 269), -> [1]
(269, 347), -> [7]
(347, 108), -> [1]
(67, 270), -> [1]
(306, 273), -> [1]
(299, 272), -> [1]
(311, 101), -> [1]
(272, 263), -> [1]
(100, 119), -> [3]
(287, 270), -> [4]
(269, 335), -> [9]
(116, 352), -> [5]
(110, 310), -> [3]
(342, 109), -> [17]
(105, 283), -> [26]
(283, 121), -> [26]
(256, 272), -> [5]
(349, 290), -> [3]
(122, 289), -> [1]
(349, 333), -> [2]
(262, 290), -> [1]
(287, 109), -> [2]
(52, 257), -> [1]
(119, 336), -> [1]
(290, 352), -> [2]
(340, 341), -> [1]
(336, 110), -> [1]
(101, 298), -> [8]
(148, 102), -> [1]
(119, 104), -> [2]
(256, 271), -> [2]
(77, 69), -> [14]
(69, 88), -> [2]
(116, 272), -> [1]
(308, 295), -> [1]
(99, 295), -> [2]
(121, 256), -> [3]
(115, 285), -> [4]
(111, 195), -> [2]
(90, 104), -> [2]
(256, 273), -> [1]
(273, 103), -> [1]
(69, 112), -> [3]
(342, 256), -> [1]
(258, 111), -> [2]
(320, 336), -> [3]
(118, 283), -> [2]
(283, 289), -> [1]
(103, 98), -> [1]
(76, 266), -> [6]
(115, 107), -> [9]
(339, 114), -> [3]
(354, 269), -> [11]
(77, 73), -> [2]
(67, 288), -> [1]
(295, 100), -> [1]
(342, 290), -> [12]
(289, 101), -> [7]
(82, 77), -> [2]
(77, 66), -> [1]
(316, 99), -> [3]
(91, 110), -> [2]
(301, 272), -> [7]
(104, 352), -> [1]
(69, 347), -> [2]
(333, 298), -> [2]
(267, 105), -> [4]
(339, 298), -> [3]
(264, 269), -> [12]
(82, 73), -> [8]
(73, 65), -> [7]
(65, 65), -> [6]
(83, 105), -> [2]
(314, 333), -> [14]
(97, 323), -> [1]
(103, 258), -> [5]
(45, 83), -> [15]
(109, 110), -> [2]
(71, 269), -> [2]
(269, 97), -> [5]
(288, 121), -> [3]
(32, 122), -> [1]
(335, 103), -> [2]
(349, 101), -> [6]
(347, 98), -> [13]
(32, 307), -> [2]
(307, 262), -> [3]
(110, 273), -> [1]
(119, 258), -> [4]
(272, 341), -> [3]
(341, 288), -> [3]
(102, 269), -> [1]
(283, 119), -> [3]
(256, 336), -> [4]
(298, 109), -> [2]
(118, 121), -> [3]
(103, 341), -> [2]
(98, 259), -> [3]
(284, 105), -> [2]
(266, 288), -> [1]
(288, 269), -> [1]
(269, 121), -> [3]
(69, 99), -> [2]
(75, 114), -> [1]
(105, 353), -> [4]
(264, 119), -> [5]
(283, 263), -> [3]
(262, 97), -> [5]
(101, 295), -> [5]
(269, 99), -> [1]
(108, 272), -> [1]
(106, 283), -> [6]
(98, 262), -> [5]
(100, 309), -> [3]
(102, 283), -> [1]
(256, 309), -> [4]
(76, 101), -> [24]
(34, 89), -> [1]
(344, 288), -> [1]
(324, 336), -> [6]
(336, 262), -> [7]
(116, 122), -> [10]
(337, 338), -> [1]
(338, 101), -> [1]
(290, 262), -> [1]
(32, 298), -> [1]
(110, 258), -> [3]
(53, 257), -> [1]
(279, 115), -> [1]
(121, 270), -> [1]
(321, 307), -> [9]
(69, 105), -> [2]
(267, 270), -> [2]
(308, 101), -> [3]
(103, 335), -> [2]
