Byte pair, Frequency
(99, 256), -> [45]
(100, 105), -> [124]
(105, 114), -> [176]
(114, 310), -> [111]
(116, 258), -> [45]
(32, 98), -> [280]
(98, 353), -> [8]
(353, 259), -> [17]
(259, 289), -> [23]
(115, 119), -> [5]
(119, 288), -> [2]
(288, 266), -> [30]
(99, 116), -> [282]
(89, 101), -> [72]
(265, 115), -> [38]
(105, 118), -> [152]
(118, 101), -> [163]
(257, 48), -> [171]
(226, 128), -> [97]
(128, 147), -> [54]
(147, 112), -> [2]
(289, 290), -> [12]
(87, 258), -> [2]
(258, 107), -> [70]
(65, 108), -> [6]
(108, 98), -> [65]
(109, 115), -> [81]
(115, 115), -> [100]
(115, 295), -> [29]
(295, 108), -> [23]
(108, 289), -> [99]
(103, 115), -> [49]
(115, 118), -> [1]
(118, 105), -> [121]
(111, 115), -> [119]
(115, 112), -> [28]
(112, 256), -> [37]
(256, 102), -> [48]
(102, 258), -> [79]
(258, 109), -> [67]
(109, 266), -> [66]
(266, 99), -> [65]
(101, 108), -> [203]
(108, 287), -> [38]
(287, 105), -> [27]
(118, 289), -> [22]
(65, 117), -> [40]
(117, 272), -> [233]
(272, 259), -> [10]
(98, 114), -> [142]
(104, 256), -> [93]
(77, 265), -> [41]
(265, 106), -> [3]
(106, 258), -> [5]
(258, 105), -> [18]
(345, 259), -> [8]
(259, 108), -> [4]
(108, 280), -> [24]
(114, 308), -> [17]
(308, 109), -> [4]
(65, 119), -> [2]
(9, 70), -> [1]
(70, 117), -> [7]
(117, 301), -> [11]
(77, 353), -> [7]
(307, 269), -> [27]
(79, 270), -> [9]
(270, 103), -> [19]
(103, 259), -> [10]
(9, 78), -> [1]
(78, 336), -> [2]
(336, 104), -> [55]
(104, 118), -> [37]
(118, 342), -> [42]
(342, 101), -> [42]
(278, 290), -> [29]
(110, 289), -> [39]
(115, 101), -> [126]
(71, 290), -> [12]
(290, 114), -> [5]
(80, 111), -> [78]
(349, 309), -> [51]
(276, 111), -> [19]
(108, 107), -> [30]
(32, 114), -> [164]
(110, 287), -> [17]
(73, 110), -> [139]
(110, 272), -> [8]
(114, 117), -> [174]
(109, 290), -> [51]
(86, 111), -> [27]
(99, 269), -> [35]
(32, 103), -> [104]
(117, 335), -> [30]
(335, 265), -> [22]
(98, 266), -> [12]
(266, 106), -> [5]
(106, 111), -> [12]
(337, 105), -> [8]
(105, 266), -> [89]
(266, 111), -> [13]
(32, 117), -> [40]
(117, 107), -> [7]
(107, 117), -> [5]
(117, 347), -> [5]
(347, 347), -> [3]
(76, 97), -> [32]
(97, 98), -> [55]
(98, 101), -> [93]
(82, 67), -> [3]
(67, 65), -> [5]
(101, 112), -> [201]
(112, 117), -> [57]
(98, 108), -> [47]
(108, 307), -> [30]
(314, 298), -> [29]
(297, 97), -> [57]
(97, 285), -> [35]
(285, 259), -> [15]
(259, 101), -> [69]
(115, 335), -> [21]
(335, 101), -> [25]
(9, 119), -> [1]
(119, 119), -> [2]
(46, 116), -> [1]
(116, 300), -> [2]
(300, 115), -> [3]
(115, 282), -> [3]
(46, 99), -> [8]
(99, 288), -> [24]
(69, 100), -> [20]
(100, 335), -> [15]
(261, 104), -> [127]
(104, 105), -> [130]
(100, 287), -> [27]
(287, 97), -> [13]
(83, 298), -> [1]
(298, 110), -> [29]
(117, 333), -> [33]
(98, 258), -> [15]
(339, 310), -> [152]
(32, 105), -> [110]
(32, 266), -> [75]
(267, 109), -> [76]
(109, 256), -> [111]
(256, 307), -> [88]
(307, 266), -> [79]
(306, 295), -> [86]
(354, 256), -> [51]
(32, 118), -> [87]
(118, 256), -> [129]
(115, 287), -> [9]
(105, 347), -> [18]
(306, 262), -> [82]
(116, 295), -> [65]
(116, 333), -> [15]
(333, 112), -> [17]
